Hand,Win %,Tie %,Loss %
4s 5h,36.2,8.2,55.6
4s 5d,40.8,6.0,53.2
4s 5c,31.2,6.2,62.6
4s 5s,38.6,5.2,56.2
4s 6h,32.0,8.4,59.6
4s 6d,37.8,7.6,54.6
4s 6c,35.2,5.2,59.6
4s 6s,41.4,4.6,54.0
4s 7h,40.0,5.8,54.2
4s 7d,37.8,6.4,55.8
4s 7c,34.6,7.0,58.4
4s 7s,38.4,3.4,58.2
4s 8h,37.2,6.2,56.6
4s 8d,33.2,5.8,61.0
4s 8c,33.2,7.0,59.8
4s 8s,40.0,5.4,54.6
4s 9h,34.4,5.2,60.4
4s 9d,37.6,5.2,57.2
4s 9c,34.0,4.6,61.4
4s 9s,42.6,3.8,53.6
4s Th,43.8,4.6,51.6
4s Td,38.0,4.0,58.0
4s Tc,40.8,4.6,54.6
4s Ts,50.0,4.6,45.4
4s Jh,42.4,5.0,52.6
4s Jd,42.4,5.6,52.0
4s Jc,43.6,5.8,50.6
4s Js,50.4,4.6,45.0
4s Qh,44.6,6.2,49.2
4s Qd,48.2,3.8,48.0
4s Qc,44.8,3.4,51.8
4s Qs,54.0,4.8,41.2
4s Kh,47.2,3.2,49.6
4s Kd,48.4,5.0,46.6
4s Kc,53.0,3.6,43.4
4s Ks,53.0,3.8,43.2
4s Ah,53.0,5.6,41.4
4s Ad,55.0,4.2,40.8
4s Ac,58.0,3.2,38.8
4s As,59.4,5.0,35.6
5h 5d,56.4,1.2,42.4
5h 5c,57.6,0.8,41.6
5h 5s,58.0,1.0,41.0
5h 6h,36.4,5.4,58.2
5h 6d,36.4,5.0,58.6
5h 6c,39.0,7.2,53.8
5h 6s,38.6,6.2,55.2
5h 7h,40.0,5.6,54.4
5h 7d,38.6,4.8,56.6
5h 7c,35.8,4.8,59.4
5h 7s,36.2,6.4,57.4
5h 8h,44.0,5.6,50.4
5h 8d,38.0,5.6,56.4
5h 8c,41.6,4.0,54.4
5h 8s,37.6,6.6,55.8
5h 9h,39.8,5.0,55.2
5h 9d,39.8,6.6,53.6
5h 9c,38.0,4.8,57.2
5h 9s,41.4,6.0,52.6
5h Th,42.4,4.2,53.4
5h Td,42.0,6.6,51.4
5h Tc,44.4,5.6,50.0
5h Ts,40.8,3.6,55.6
5h Jh,45.6,3.2,51.2
5h Jd,43.6,3.8,52.6
5h Jc,42.6,3.8,53.6
5h Js,45.4,4.4,50.2
5h Qh,47.6,4.4,48.0
5h Qd,46.4,4.8,48.8
5h Qc,48.2,4.6,47.2
5h Qs,47.2,4.2,48.6
5h Kh,54.8,3.6,41.6
5h Kd,51.6,6.2,42.2
5h Kc,52.0,2.8,45.2
5h Ks,51.2,4.0,44.8
5h Ah,57.0,4.6,38.4
5h Ad,52.6,5.0,42.4
5h Ac,51.8,5.2,43.0
5h As,57.4,4.4,38.2
5d 5c,58.4,1.6,40.0
5d 5s,61.6,0.6,37.8
5d 6h,35.4,7.0,57.6
5d 6d,40.0,4.8,55.2
5d 6c,36.6,6.6,56.8
5d 6s,36.8,7.6,55.6
5d 7h,36.2,6.2,57.6
5d 7d,39.0,6.6,54.4
5d 7c,34.4,5.8,59.8
5d 7s,38.4,5.8,55.8
5d 8h,38.6,4.0,57.4
5d 8d,43.2,5.4,51.4
5d 8c,41.4,5.0,53.6
5d 8s,41.6,4.8,53.6
5d 9h,40.2,4.4,55.4
5d 9d,45.6,5.6,48.8
5d 9c,40.0,4.0,56.0
5d 9s,40.2,4.4,55.4
5d Th,39.0,6.0,55.0
5d Td,47.0,5.4,47.6
5d Tc,43.2,6.6,50.2
5d Ts,42.6,5.8,51.6
5d Jh,42.4,4.4,53.2
5d Jd,47.0,4.2,48.8
5d Jc,45.2,4.0,50.8
5d Js,46.4,5.4,48.2
5d Qh,46.2,3.6,50.2
5d Qd,47.6,3.4,49.0
5d Qc,46.0,4.2,49.8
5d Qs,47.2,4.8,48.0
5d Kh,51.4,3.8,44.8
5d Kd,50.8,3.6,45.6
5d Kc,53.2,3.4,43.4
5d Ks,53.2,4.0,42.8
5d Ah,56.0,4.2,39.8
5d Ad,55.4,4.4,40.2
5d Ac,54.4,3.6,42.0
5d As,55.2,3.4,41.4
5c 5s,57.0,1.4,41.6
5c 6h,37.6,4.6,57.8
5c 6d,40.0,6.0,54.0
5c 6c,40.4,6.0,53.6
5c 6s,36.2,7.2,56.6
5c 7h,39.2,5.8,55.0
5c 7d,39.4,4.4,56.2
5c 7c,41.0,8.0,51.0
5c 7s,42.4,6.6,51.0
5c 8h,39.2,5.0,55.8
5c 8d,38.0,5.2,56.8
5c 8c,44.8,4.2,51.0
5c 8s,43.4,4.2,52.4
5c 9h,42.0,5.0,53.0
5c 9d,42.4,4.0,53.6
5c 9c,44.4,4.0,51.6
5c 9s,39.4,6.0,54.6
5c Th,43.8,5.8,50.4
5c Td,40.8,7.0,52.2
5c Tc,44.4,2.4,53.2
5c Ts,42.2,4.8,53.0
5c Jh,47.0,4.2,48.8
5c Jd,42.2,2.8,55.0
5c Jc,50.8,3.2,46.0
5c Js,45.0,4.4,50.6
5c Qh,48.0,5.2,46.8
5c Qd,51.6,4.4,44.0
5c Qc,51.8,4.8,43.4
5c Qs,51.2,4.4,44.4
5c Kh,54.2,4.8,41.0
5c Kd,51.0,4.6,44.4
5c Kc,52.0,3.4,44.6
5c Ks,48.8,5.4,45.8
5c Ah,55.0,5.0,40.0
5c Ad,52.4,3.8,43.8
5c Ac,56.2,5.4,38.4
5c As,52.6,3.6,43.8
5s 6h,36.6,4.8,58.6
5s 6d,36.4,6.0,57.6
5s 6c,37.8,4.8,57.4
5s 6s,42.0,4.4,53.6
5s 7h,40.8,5.8,53.4
5s 7d,39.2,5.4,55.4
5s 7c,35.8,5.4,58.8
5s 7s,39.4,6.8,53.8
5s 8h,37.6,6.4,56.0
5s 8d,42.0,5.8,52.2
5s 8c,34.6,4.2,61.2
5s 8s,36.0,4.6,59.4
5s 9h,43.8,5.6,50.6
5s 9d,38.6,4.4,57.0
5s 9c,41.0,4.8,54.2
5s 9s,43.6,5.4,51.0
5s Th,38.4,6.6,55.0
5s Td,44.6,4.6,50.8
5s Tc,43.0,3.6,53.4
5s Ts,45.4,3.2,51.4
5s Jh,43.0,5.2,51.8
5s Jd,47.8,3.6,48.6
5s Jc,48.2,4.8,47.0
5s Js,50.2,4.0,45.8
5s Qh,48.8,4.0,47.2
5s Qd,48.0,4.6,47.4
5s Qc,48.4,4.4,47.2
5s Qs,50.8,4.6,44.6
5s Kh,53.2,4.0,42.8
5s Kd,52.4,4.4,43.2
5s Kc,47.6,3.4,49.0
5s Ks,50.2,4.4,45.4
5s Ah,59.6,2.2,38.2
5s Ad,60.6,3.0,36.4
5s Ac,58.4,4.0,37.6
5s As,57.0,4.2,38.8
6h 6d,63.8,0.8,35.4
6h 6c,62.2,1.0,36.8
6h 6s,63.4,1.4,35.2
6h 7h,43.8,5.2,51.0
6h 7d,37.0,5.2,57.8
6h 7c,39.2,5.0,55.8
6h 7s,37.4,6.6,56.0
6h 8h,45.4,6.0,48.6
6h 8d,41.2,6.2,52.6
6h 8c,41.6,4.8,53.6
6h 8s,41.0,3.2,55.8
6h 9h,47.4,4.4,48.2
6h 9d,42.8,4.8,52.4
6h 9c,45.2,4.6,50.2
6h 9s,38.0,6.6,55.4
6h Th,47.4,4.8,47.8
6h Td,47.0,3.2,49.8
6h Tc,44.8,4.2,51.0
6h Ts,39.2,6.2,54.6
6h Jh,47.2,3.2,49.6
6h Jd,45.8,5.4,48.8
6h Jc,43.6,4.4,52.0
6h Js,44.2,3.6,52.2
6h Qh,47.4,2.0,50.6
6h Qd,52.6,3.8,43.6
6h Qc,51.4,4.0,44.6
6h Qs,50.4,3.0,46.6
6h Kh,56.4,2.8,40.8
6h Kd,52.0,4.0,44.0
6h Kc,52.6,3.0,44.4
6h Ks,51.8,5.0,43.2
6h Ah,56.8,4.0,39.2
6h Ad,58.0,3.0,39.0
6h Ac,54.8,3.0,42.2
6h As,54.6,4.2,41.2
6d 6c,62.6,1.4,36.0
6d 6s,64.8,1.0,34.2
6d 7h,36.0,5.2,58.8
6d 7d,38.4,5.2,56.4
6d 7c,37.8,6.0,56.2
6d 7s,42.6,3.2,54.2
6d 8h,41.6,3.4,55.0
6d 8d,43.8,4.4,51.8
6d 8c,38.0,6.6,55.4
6d 8s,41.4,5.0,53.6
6d 9h,42.2,4.4,53.4
6d 9d,43.8,5.2,51.0
6d 9c,42.8,4.8,52.4
6d 9s,43.8,4.6,51.6
6d Th,44.8,4.2,51.0
6d Td,46.6,3.2,50.2
6d Tc,39.8,3.2,57.0
6d Ts,45.4,3.8,50.8
6d Jh,47.8,4.0,48.2
6d Jd,47.4,5.0,47.6
6d Jc,44.2,6.0,49.8
6d Js,44.8,5.0,50.2
6d Qh,50.4,3.4,46.2
6d Qd,53.2,3.8,43.0
6d Qc,46.8,3.0,50.2
6d Qs,50.0,3.4,46.6
6d Kh,52.8,4.4,42.8
6d Kd,53.4,4.8,41.8
6d Kc,57.6,3.6,38.8
6d Ks,51.8,4.8,43.4
6d Ah,51.4,4.0,44.6
6d Ad,55.2,4.4,40.4
6d Ac,56.2,3.2,40.6
6d As,57.6,2.2,40.2
6c 6s,61.4,1.4,37.2
6c 7h,37.4,5.2,57.4
6c 7d,40.6,4.6,54.8
6c 7c,41.8,6.4,51.8
6c 7s,39.4,4.8,55.8
6c 8h,42.0,6.8,51.2
6c 8d,43.2,2.6,54.2
6c 8c,43.6,4.2,52.2
6c 8s,41.0,3.2,55.8
6c 9h,47.6,3.4,49.0
6c 9d,41.0,4.0,55.0
6c 9c,45.2,4.2,50.6
6c 9s,44.8,4.4,50.8
6c Th,41.8,3.0,55.2
6c Td,44.0,4.0,52.0
6c Tc,49.2,4.0,46.8
6c Ts,40.2,4.4,55.4
6c Jh,41.0,4.6,54.4
6c Jd,47.2,3.6,49.2
6c Jc,48.0,3.4,48.6
6c Js,47.2,5.0,47.8
6c Qh,44.8,5.4,49.8
6c Qd,52.8,2.6,44.6
6c Qc,50.4,5.0,44.6
6c Qs,50.2,2.6,47.2
6c Kh,52.4,2.8,44.8
6c Kd,49.6,3.6,46.8
6c Kc,54.8,3.6,41.6
6c Ks,51.0,3.8,45.2
6c Ah,56.4,5.0,38.6
6c Ad,58.6,3.2,38.2
6c Ac,58.4,3.8,37.8
6c As,53.2,5.2,41.6
6s 7h,40.6,5.0,54.4
6s 7d,42.0,4.0,54.0
6s 7c,41.0,4.6,54.4
6s 7s,43.0,4.6,52.4
6s 8h,43.6,5.8,50.6
6s 8d,40.4,3.0,56.6
